dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity,caseid
24-Oct,186.548,alive,none,belted,0,m,64,2002,1992,unavail,driver,0,0,41:32:01
24-Oct,52.871,alive,airbag,none,1,m,64,2002,1992,deploy,driver,1,3,41:119:2
24-Oct,52.871,alive,none,none,1,f,64,2002,1992,unavail,pass,0,3,41:119:2
24-Oct,950.257,alive,airbag,belted,0,m,64,2002,1999,nodeploy,driver,0,0,43:247:2
40-54,30.06,alive,none,belted,1,f,64,2002,1982,unavail,pass,0,3,43:282:1
24-Oct,334.837,alive,airbag,belted,1,m,64,2002,1999,deploy,pass,1,2,43:289:1
24-Oct,243.713,alive,airbag,belted,1,m,64,2002,1999,nodeploy,driver,0,0,43:305:2
24-Oct,656.355,alive,airbag,belted,0,f,64,2002,2002,nodeploy,driver,0,1,45:70:1
25-39,272.159,alive,airbag,none,0,m,64,2002,2001,nodeploy,driver,0,3,48:97:1
24-Oct,11.258,alive,airbag,none,0,m,64,2002,2000,deploy,driver,1,3,49:164:1
24-Oct,71.082,alive,airbag,belted,1,f,64,2002,2001,deploy,pass,1,1,50:38:01
25-39,150.502,alive,none,belted,1,m,64,2002,1989,unavail,driver,0,0,72:34:01
24-Oct,3267.609,alive,airbag,belted,0,f,64,2002,1999,nodeploy,driver,0,0,73:96:2
25-39,131.456,alive,airbag,belted,1,m,64,2002,1999,deploy,driver,1,1,73:222:2
24-Oct,23.228,alive,airbag,belted,1,m,64,2002,1998,deploy,driver,1,3,74:61:2
1-9km/h,606.09,alive,none,belted,0,m,64,2002,1986,unavail,driver,0,0,75:13:01
25-39,65.372,dead,airbag,none,1,m,64,2002,2000,deploy,driver,1,4,78:15:01
24-Oct,792.491,alive,airbag,belted,1,f,64,2002,1996,deploy,driver,1,3,78:53:02
1-9km/h,74.346,alive,airbag,none,0,m,64,2002,2001,nodeploy,driver,0,3,78:123:2
25-39,335.474,alive,none,belted,0,m,64,2002,1986,unavail,driver,0,2,78:129:2
24-Oct,336.618,alive,airbag,belted,1,f,64,2002,1991,nodeploy,driver,0,0,79:110:1
40-54,18.895,alive,none,belted,1,m,64,2002,1972,unavail,driver,0,1,81:94:2
40-54,27.078,alive,none,belted,1,m,65,1997,1991,unavail,driver,0,3,0.138217593
25-39,12.383,alive,none,belted,0,f,65,1997,1987,unavail,pass,0,3,0.234039352
25-39,176.65,alive,none,none,0,f,65,1997,1985,unavail,driver,0,3,11:56:02
25-39,573.281,alive,airbag,belted,1,f,65,1997,1994,nodeploy,pass,0,1,12:09:01
25-39,30.29,alive,none,belted,1,m,65,1997,1988,unavail,driver,0,2,12:54:01
24-Oct,34.053,alive,airbag,belted,1,f,65,1997,1994,deploy,driver,1,3,0.620150463
25-39,89.92,dead,none,none,1,f,65,1997,1987,unavail,pass,0,4,0.626412037
24-Oct,83.362,alive,none,belted,0,m,65,1997,1982,unavail,driver,0,2,0.638217593
24-Oct,83.362,alive,none,belted,0,f,65,1997,1982,unavail,pass,0,2,0.638217593
25-39,56.981,alive,airbag,belted,0,m,65,1997,1990,deploy,driver,1,3,43:108:2
24-Oct,1386.393,alive,none,belted,1,f,65,1997,1989,unavail,pass,0,2,45:100:2
24-Oct,83.947,dead,none,none,1,m,65,1997,1979,unavail,driver,0,3,45:196:1
24-Oct,741.235,alive,airbag,none,0,f,65,1997,1993,deploy,driver,1,3,48:78:1
1-9km/h,655.934,alive,airbag,belted,1,f,65,1997,1994,nodeploy,driver,0,0,48:119:1
25-39,9.543,alive,none,belted,0,f,65,1997,1984,unavail,pass,0,3,49:14:01
40-54,12.266,alive,airbag,belted,1,f,65,1997,1994,deploy,driver,1,3,49:34:02
24-Oct,12.836,alive,none,belted,0,f,65,1997,1985,unavail,driver,0,1,72:31:02
25-39,14.037,alive,airbag,belted,0,f,65,1997,1995,deploy,driver,1,5,74:66:2
24-Oct,50.617,alive,airbag,belted,0,m,65,1997,1995,deploy,driver,1,3,75:15:01
24-Oct,50.617,alive,airbag,belted,1,m,65,1997,1994,deploy,driver,1,0,75:42:02
25-39,5.194,alive,airbag,belted,0,m,65,1997,1994,deploy,driver,1,2,82:96:1
25-39,109.026,alive,none,belted,0,m,65,1998,1990,unavail,driver,0,1,2:29:01
25-39,58.124,alive,airbag,belted,1,f,65,1998,1995,deploy,pass,1,1,4:54:01
24-Oct,15.535,alive,airbag,belted,1,f,65,1998,1996,nodeploy,driver,0,3,0.212523148
24-Oct,21.167,alive,none,none,1,m,65,1998,1986,unavail,driver,0,3,5:07:01
25-39,20.838,alive,none,none,1,f,65,1998,1994,unavail,pass,0,3,0.298634259
24-Oct,104.408,alive,airbag,belted,0,m,65,1998,1993,nodeploy,driver,0,3,9:20:01
25-39,86.624,alive,none,belted,0,f,65,1998,1995,unavail,pass,0,3,13:58:02
25-39,86.986,alive,airbag,none,0,m,65,1998,1993,deploy,driver,1,3,0.706261574
55+,88.766,alive,none,belted,0,m,65,1998,1988,unavail,pass,0,3,41:02:01
25-39,30.393,alive,none,belted,0,m,65,1998,1984,unavail,driver,0,2,41:19:01
24-Oct,2843.772,alive,none,none,1,f,65,1998,1991,unavail,driver,0,0,43:54:02
24-Oct,49.778,alive,airbag,belted,0,f,65,1998,1993,nodeploy,driver,0,3,45:17:02
24-Oct,1134.205,alive,airbag,belted,0,m,65,1998,1996,deploy,driver,1,2,45:59:01
40-54,660.445,alive,airbag,none,1,f,65,1998,1995,deploy,driver,1,3,48:148:2
24-Oct,41.116,alive,airbag,belted,1,m,65,1998,1996,nodeploy,driver,0,1,72:65:2
40-54,24.166,alive,none,none,1,m,65,1998,1988,unavail,driver,0,3,73:63:2
25-39,815.489,alive,airbag,belted,0,f,65,1998,1996,deploy,driver,1,0,73:68:2
24-Oct,14.005,alive,airbag,none,1,f,65,1998,1997,deploy,pass,1,3,74:47:02
25-39,58.875,alive,none,belted,0,f,65,1998,1994,unavail,pass,0,0,74:136:1
24-Oct,11007.107,alive,none,belted,1,f,65,1998,1990,unavail,driver,0,1,75:01:02
24-Oct,40.07,alive,airbag,belted,0,f,65,1998,1992,nodeploy,driver,0,3,75:34:02
24-Oct,339.069,alive,airbag,belted,0,f,65,1998,1998,nodeploy,pass,0,0,75:151:2
24-Oct,75.418,alive,none,belted,0,m,65,1998,1993,unavail,driver,0,0,78:06:01
24-Oct,56.892,alive,airbag,belted,0,m,65,1998,1998,nodeploy,driver,0,3,78:21:01
24-Oct,67.199,alive,none,belted,1,f,65,1998,1986,unavail,driver,0,1,79:93:2
24-Oct,25.089,alive,airbag,belted,1,f,65,1999,1998,deploy,pass,1,3,4:24:01
24-Oct,285.305,alive,airbag,belted,1,m,65,1999,1998,deploy,driver,1,0,0.408344907
25-39,53.956,dead,airbag,belted,0,m,65,1999,1996,deploy,driver,1,4,0.45974537
25-39,32.301,alive,none,belted,0,f,65,1999,1987,unavail,driver,0,3,0.561828704
25-39,754.46,alive,none,belted,1,f,65,1999,1986,unavail,driver,0,0,0.623622685
24-Oct,943.075,alive,none,none,1,m,65,1999,1990,unavail,driver,0,0,0.691689815
25-39,112.552,alive,airbag,belted,1,m,65,1999,1999,nodeploy,driver,0,0,41:03:02
24-Oct,3279.491,alive,none,belted,1,f,65,1999,1991,unavail,pass,0,1,43:01:01
25-39,703.842,alive,airbag,belted,1,m,65,1999,1998,deploy,driver,1,1,43:97:1
24-Oct,328.173,dead,airbag,none,1,m,65,1999,1995,nodeploy,driver,0,4,48:78:1
40-54,194.176,alive,none,belted,0,m,65,1999,1988,unavail,pass,0,3,48:86:2
55+,161.067,alive,none,belted,1,m,65,1999,1989,unavail,driver,0,3,48:114:1
25-39,217.482,alive,airbag,belted,1,f,65,1999,1999,deploy,driver,1,3,48:214:1
25-39,10.216,alive,airbag,none,0,m,65,1999,1992,deploy,driver,1,3,49:154:2
25-39,10.216,dead,none,none,0,f,65,1999,1992,unavail,pass,0,4,49:154:2
24-Oct,597.864,alive,none,belted,1,m,65,1999,1988,unavail,driver,0,2,49:189:2
24-Oct,2555.458,alive,airbag,belted,0,f,65,1999,1998,deploy,driver,1,0,73:03:01
24-Oct,2577.186,alive,airbag,belted,1,m,65,1999,1996,deploy,pass,1,0,74:122:1
25-39,18.112,dead,none,belted,0,f,65,1999,1991,unavail,driver,0,4,74:166:1
24-Oct,196.034,alive,none,belted,1,m,65,1999,1989,unavail,driver,0,1,75:126:2
24-Oct,125.043,alive,airbag,belted,0,m,65,1999,1998,nodeploy,driver,0,3,76:71:2
24-Oct,1223.725,alive,none,belted,0,f,65,1999,1986,unavail,driver,0,0,76:117:2
24-Oct,55.397,alive,none,belted,0,m,65,1999,1977,unavail,driver,0,1,79:95:1
40-54,31.183,alive,none,belted,1,m,65,1999,1991,unavail,pass,0,NA,81:74:2
25-39,1189.699,alive,none,none,1,m,65,1999,1988,unavail,driver,0,2,81:121:1
24-Oct,31.648,alive,airbag,belted,1,f,65,1999,1999,nodeploy,driver,0,2,82:143:2
24-Oct,194.718,alive,airbag,none,1,f,65,2000,2000,deploy,pass,1,1,0.169467593
24-Oct,27.724,alive,airbag,belted,1,m,65,2000,1998,deploy,driver,1,1,0.262511574
1-9km/h,133.767,alive,airbag,belted,1,f,65,2000,2000,deploy,driver,1,1,0.263900463
24-Oct,120.25,alive,none,belted,0,f,65,2000,1993,unavail,driver,0,2,0.270856481
24-Oct,948.148,alive,airbag,belted,1,f,65,2000,1998,nodeploy,pass,0,1,0.376400463
1-9km/h,785.724,alive,airbag,belted,0,f,65,2000,1994,nodeploy,driver,0,0,0.386122685
1-9km/h,785.724,alive,airbag,belted,1,f,65,2000,1996,nodeploy,driver,0,0,0.386134259
24-Oct,675.962,alive,airbag,belted,0,f,65,2000,1995,nodeploy,pass,0,0,0.430590278
24-Oct,52.966,alive,airbag,none,1,m,65,2000,1994,deploy,driver,1,1,0.517384259
40-54,37.637,alive,none,none,1,f,65,2000,1992,unavail,pass,0,3,12:06:01
24-Oct,40.049,alive,airbag,belted,0,f,65,2000,1993,deploy,pass,1,2,0.560439815
24-Oct,542.895,alive,airbag,belted,0,m,65,2000,1994,nodeploy,driver,0,0,13:12:01
24-Oct,2002.158,alive,none,belted,1,m,65,2000,1989,unavail,driver,0,0,43:36:01
40-54,59.424,alive,airbag,belted,1,f,65,2000,1996,deploy,pass,1,3,43:99:1
24-Oct,13.46,alive,airbag,belted,1,m,65,2000,1998,deploy,pass,1,3,49:21:01
24-Oct,9.829,alive,none,belted,1,m,65,2000,1988,unavail,driver,0,3,74:126:2
24-Oct,77.733,alive,none,belted,1,f,65,2000,1990,unavail,pass,0,3,78:105:2
24-Oct,2241.53,alive,none,none,1,m,65,2000,1985,unavail,driver,0,2,81:06:01
24-Oct,3913.157,alive,airbag,belted,1,f,65,2001,1997,nodeploy,driver,0,0,4:58:02
24-Oct,122.359,alive,airbag,belted,0,m,65,2001,2000,nodeploy,driver,0,0,0.223634259
24-Oct,613.798,alive,none,belted,0,f,65,2001,1990,unavail,driver,0,0,5:10:01
25-39,334.865,alive,airbag,belted,0,f,65,2001,1997,nodeploy,driver,0,1,5:33:02
24-Oct,269.917,alive,airbag,belted,1,m,65,2001,1998,deploy,driver,1,1,0.270856481
25-39,26.896,alive,none,belted,1,m,65,2001,1993,unavail,driver,0,2,12:32:02
25-39,26.896,alive,none,belted,1,f,65,2001,1993,unavail,pass,0,2,12:32:02
25-39,215.586,alive,airbag,belted,1,f,65,2001,1999,deploy,pass,1,1,0.595856481
40-54,78.106,dead,airbag,belted,0,f,65,2001,1999,nodeploy,driver,0,4,0.643773148
24-Oct,449.12,alive,airbag,belted,1,f,65,2001,1997,nodeploy,driver,0,2,43:27:02
24-Oct,116.794,alive,airbag,belted,1,m,65,2001,1997,nodeploy,pass,0,0,43:144:3
24-Oct,224.688,alive,airbag,belted,0,f,65,2001,1998,nodeploy,driver,0,1,43:203:2
55+,54.303,alive,none,belted,1,m,65,2001,1993,unavail,driver,0,3,45:142:1
40-54,61.329,alive,airbag,none,1,m,65,2001,1998,deploy,driver,1,3,45:171:1
24-Oct,332.607,alive,none,belted,0,m,65,2001,1991,unavail,driver,0,0,48:115:2
24-Oct,434.804,alive,none,belted,1,f,65,2001,1987,unavail,driver,0,3,48:161:1
25-39,10.761,alive,airbag,belted,1,f,65,2001,1994,deploy,driver,1,2,49:139:2
24-Oct,1078.627,alive,none,none,1,f,65,2001,1989,unavail,driver,0,0,49:266:2
24-Oct,159.413,alive,airbag,belted,1,f,65,2001,2000,nodeploy,driver,0,1,74:64:1
25-39,44.414,alive,airbag,belted,0,m,65,2001,1992,deploy,driver,1,3,75:51:02
40-54,498.929,alive,none,belted,1,f,65,2001,1981,unavail,driver,0,2,75:102:1
25-39,51.428,alive,airbag,belted,1,m,65,2001,1999,deploy,driver,1,3,78:118:2
40-54,26.302,dead,airbag,belted,0,m,65,2001,1997,deploy,pass,1,4,81:131:2
24-Oct,320.292,alive,airbag,belted,1,m,65,2002,2001,deploy,driver,1,1,2:17:01
24-Oct,485.113,alive,airbag,belted,0,m,65,2002,1994,deploy,driver,1,1,3:37:01
25-39,18.481,alive,airbag,belted,0,f,65,2002,1993,nodeploy,driver,0,3,4:03:01
24-Oct,754.753,alive,airbag,belted,1,f,65,2002,1995,nodeploy,driver,0,0,4:07:01
24-Oct,70.58,alive,airbag,none,1,f,65,2002,1997,deploy,pass,1,1,0.300011574
1-9km/h,182.437,alive,airbag,belted,1,m,65,2002,1992,nodeploy,driver,0,0,0.375011574
24-Oct,239.857,alive,airbag,belted,1,f,65,2002,1999,nodeploy,driver,0,1,0.451412037
24-Oct,2095.553,alive,airbag,belted,1,f,65,2002,1997,nodeploy,driver,0,0,0.477106481
1-9km/h,841.773,alive,airbag,belted,0,m,65,2002,1997,deploy,driver,1,0,0.487511574
25-39,71.408,alive,none,belted,0,f,65,2002,1989,unavail,driver,0,3,0.507650463
24-Oct,38.994,alive,airbag,belted,0,f,65,2002,1997,deploy,driver,1,3,11:44:01
40-54,38.994,alive,airbag,belted,0,m,65,2002,1998,nodeploy,driver,0,0,0.520150463
24-Oct,38.994,alive,none,belted,0,m,65,2002,1987,unavail,driver,0,3,0.573622685
24-Oct,1075.986,alive,airbag,belted,1,f,65,2002,2000,deploy,driver,1,1,0.593761574
24-Oct,21.415,alive,airbag,none,1,m,65,2002,2001,nodeploy,driver,0,3,0.573645833
24-Oct,71.625,alive,airbag,belted,1,f,65,2002,1999,nodeploy,driver,0,1,0.65974537
25-39,174.139,alive,airbag,belted,1,m,65,2002,2001,deploy,driver,1,0,43:169:1
24-Oct,124.821,alive,none,none,0,f,65,2002,1989,unavail,driver,0,3,45:27:01
40-54,81.347,alive,airbag,belted,1,m,65,2002,1994,deploy,driver,1,3,45:165:1
25-39,44.081,alive,airbag,belted,0,f,65,2002,1996,nodeploy,driver,0,3,49:13:02
40-54,10.619,alive,airbag,none,1,f,65,2002,1998,deploy,pass,1,1,49:74:2
24-Oct,682.785,alive,airbag,belted,1,f,65,2002,1999,deploy,pass,1,0,73:177:1
25-39,8.244,alive,airbag,belted,1,m,65,2002,1999,nodeploy,driver,0,0,74:72:2
24-Oct,100.619,alive,none,belted,0,f,65,2002,1991,unavail,pass,0,1,74:124:1
24-Oct,25.635,alive,airbag,none,1,f,65,2002,1999,deploy,driver,1,1,74:170:2
24-Oct,53.172,alive,airbag,belted,0,f,65,2002,1996,nodeploy,pass,0,2,75:54:01
25-39,110.973,alive,airbag,belted,0,f,65,2002,1996,nodeploy,pass,0,3,78:85:1
24-Oct,67.136,alive,none,belted,1,m,65,2002,1994,unavail,driver,0,3,78:97:1
25-39,9.822,alive,none,belted,1,m,65,2002,1978,unavail,driver,0,0,79:86:2
24-Oct,14.03,alive,airbag,belted,1,f,65,2002,1995,deploy,driver,1,2,82:71:1
24-Oct,227.936,alive,none,belted,1,m,66,1997,1979,unavail,driver,0,0,0.148634259
24-Oct,44.333,alive,airbag,belted,1,f,66,1997,1997,deploy,pass,1,1,0.186828704
24-Oct,67.138,alive,none,none,1,m,66,1997,1989,unavail,driver,0,3,0.182662037
25-39,34.699,alive,airbag,belted,1,m,66,1997,1996,deploy,driver,1,2,0.259733796
25-39,7.532,alive,airbag,belted,0,m,66,1997,1995,deploy,driver,1,2,6:38:02
25-39,265.855,alive,none,belted,0,m,66,1997,1986,unavail,driver,0,2,0.440289352
25-39,31.692,alive,none,belted,0,f,66,1997,1989,unavail,driver,0,3,0.422233796
40-54,49.775,alive,airbag,belted,0,f,66,1997,1994,deploy,driver,1,2,11:53:01
40-54,63.506,alive,none,none,0,f,66,1997,1990,unavail,driver,0,3,0.555578704
25-39,680.606,alive,none,none,0,f,66,1997,1989,unavail,driver,0,0,0.568078704
25-39,31.342,alive,none,belted,0,f,66,1997,1994,unavail,pass,0,1,0.568773148
24-Oct,87.135,alive,none,belted,1,f,66,1997,1988,unavail,driver,0,1,0.636134259
24-Oct,81.996,alive,none,none,0,f,66,1997,1984,unavail,driver,0,3,0.641678241
25-39,81.996,alive,none,none,1,m,66,1997,1992,unavail,driver,0,3,0.645856481
24-Oct,655.934,alive,airbag,belted,0,f,66,1997,1991,nodeploy,pass,0,0,48:119:2
55+,222.002,alive,airbag,belted,1,m,66,1997,1995,deploy,driver,1,3,48:123:1
24-Oct,27.397,alive,airbag,none,0,m,66,1997,1995,nodeploy,driver,0,1,49:12:02
24-Oct,15.918,alive,none,none,1,f,66,1997,1991,unavail,driver,0,3,74:55:01
24-Oct,61.504,alive,none,belted,1,m,66,1997,1991,unavail,driver,0,0,78:13:01
24-Oct,50.312,alive,none,belted,1,m,66,1997,1987,unavail,pass,0,2,78:55:02
40-54,3.028,alive,none,none,0,m,66,1997,1988,unavail,driver,0,3,79:128:1
24-Oct,140.911,alive,none,belted,1,f,66,1998,1990,unavail,driver,0,1,2:26:02
24-Oct,231.577,alive,none,belted,0,f,66,1998,1984,unavail,driver,0,1,0.129872685
24-Oct,143.986,alive,none,belted,1,f,66,1998,1984,unavail,driver,0,1,0.152789352
24-Oct,22.795,alive,none,belted,1,m,66,1998,1992,unavail,pass,0,1,0.168773148
25-39,1012.905,alive,airbag,none,1,m,66,1998,1990,deploy,driver,1,2,5:14:01
25-39,20.481,alive,none,none,0,m,66,1998,1987,unavail,driver,0,1,6:19:02
24-Oct,822.589,alive,airbag,belted,1,f,66,1998,1995,deploy,driver,1,2,0.395856481
40-54,104.408,alive,airbag,belted,1,f,66,1998,1996,deploy,driver,1,3,9:20:02
24-Oct,89.248,alive,airbag,belted,0,f,66,1998,1995,nodeploy,driver,0,1,11:48:01
24-Oct,32.467,dead,airbag,belted,1,m,66,1998,1995,nodeploy,driver,0,4,12:40:01
40-54,25.411,alive,airbag,belted,0,f,66,1998,1995,deploy,driver,1,3,41:30:01
25-39,288.576,alive,airbag,belted,0,m,66,1998,1996,deploy,pass,1,3,48:32:02
25-39,288.576,alive,airbag,none,0,f,66,1998,1995,nodeploy,driver,0,3,48:112:2
25-39,194.533,alive,none,belted,0,f,66,1998,1987,unavail,driver,0,1,49:31:01
24-Oct,9844.878,alive,none,belted,0,f,66,1998,1983,unavail,driver,0,0,75:141:1
55+,45.621,dead,none,belted,1,m,66,1998,1984,unavail,driver,0,4,75:149:2
24-Oct,255.924,alive,airbag,none,0,m,66,1999,1997,nodeploy,driver,0,2,0.280578704
24-Oct,42.104,alive,none,belted,1,f,66,1999,1988,unavail,driver,0,3,9:52:03
25-39,61.135,alive,none,belted,0,m,66,1999,1986,unavail,driver,0,1,0.430578704
55+,52.227,alive,none,belted,1,m,66,1999,1990,unavail,driver,0,3,0.552094907
1-9km/h,323.708,alive,airbag,belted,1,f,66,1999,1994,nodeploy,driver,0,1,12:24:01
24-Oct,116.048,alive,airbag,belted,0,f,66,1999,1998,nodeploy,pass,0,1,0.561122685
24-Oct,262.672,alive,airbag,belted,1,m,66,1999,1995,deploy,driver,1,0,0.586828704
24-Oct,113.409,alive,none,belted,1,m,66,1999,1989,unavail,driver,0,0,0.66599537
24-Oct,112.391,alive,airbag,belted,1,m,66,1999,1996,nodeploy,driver,0,2,41:104:2
24-Oct,102.406,alive,none,belted,0,f,66,1999,1994,unavail,driver,0,2,41:174:2
40-54,51.368,alive,none,belted,0,m,66,1999,1986,unavail,driver,0,3,43:122:2
24-Oct,55.823,alive,airbag,none,0,m,66,1999,1993,deploy,driver,1,2,45:52:01
24-Oct,49.406,alive,none,none,0,m,66,1999,1988,unavail,pass,0,2,45:104:2
40-54,44.738,alive,airbag,belted,0,f,66,1999,1997,nodeploy,driver,0,0,45:118:2
25-39,288.836,alive,none,none,1,m,66,1999,1984,unavail,driver,0,3,48:50:01
24-Oct,375.615,alive,airbag,none,1,m,66,1999,1990,nodeploy,driver,0,0,72:163:2
25-39,1406.612,alive,none,none,1,m,66,1999,1983,unavail,pass,0,1,73:53:02
25-39,23.189,alive,none,none,0,f,66,1999,1992,unavail,pass,0,3,74:29:02
25-39,40.661,alive,airbag,belted,1,m,66,1999,1991,nodeploy,driver,0,0,75:86:2
24-Oct,267.066,alive,airbag,belted,1,m,66,1999,1996,deploy,driver,1,0,76:134:1
25-39,51.81,alive,airbag,belted,0,f,66,1999,1996,deploy,driver,1,1,78:53:01
24-Oct,237.473,alive,none,belted,1,m,66,1999,1989,unavail,driver,0,0,82:95:2
24-Oct,61.798,alive,airbag,belted,0,m,66,2000,1990,nodeploy,driver,0,3,2:15:01
24-Oct,614.441,alive,airbag,belted,1,f,66,2000,1994,nodeploy,driver,0,1,0.170150463
24-Oct,217.559,alive,none,none,1,m,66,2000,1987,unavail,driver,0,1,0.414594907
24-Oct,282.38,alive,airbag,belted,1,f,66,2000,2000,nodeploy,driver,0,1,0.431956019
24-Oct,447.359,alive,none,belted,0,f,66,2000,1991,unavail,driver,0,3,0.426412037
25-39,51.164,alive,airbag,belted,1,f,66,2000,2000,deploy,driver,1,1,0.532685185
25-39,336.424,alive,airbag,belted,0,f,66,2000,1993,nodeploy,driver,0,1,12:48:01
24-Oct,131.802,alive,none,none,1,m,66,2000,1989,unavail,driver,0,0,0.570844907
24-Oct,131.802,alive,none,belted,1,f,66,2000,1989,unavail,pass,0,0,0.570844907
25-39,448.994,alive,airbag,belted,1,f,66,2000,1993,deploy,driver,1,2,0.607650463
24-Oct,391.95,alive,none,belted,1,f,66,2000,1996,unavail,driver,0,1,0.625706019
24-Oct,57.728,alive,airbag,belted,1,m,66,2000,1994,deploy,driver,1,0,0.652106481
40-54,67.802,dead,none,belted,1,f,66,2000,1989,unavail,pass,0,4,0.654884259
25-39,86.713,alive,none,none,1,m,66,2000,1989,unavail,driver,0,3,0.681273148
24-Oct,368.327,alive,none,belted,0,f,66,2000,1992,unavail,driver,0,0,41:105:1
24-Oct,451.142,alive,airbag,belted,1,m,66,2000,1995,deploy,driver,1,0,43:57:01
24-Oct,451.142,alive,airbag,belted,1,f,66,2000,1995,deploy,pass,1,2,43:57:01
24-Oct,3276.391,alive,airbag,belted,0,f,66,2000,1996,nodeploy,driver,0,0,43:232:1
25-39,450.53,alive,none,none,1,m,66,2000,1988,unavail,driver,0,3,48:47:01
1-9km/h,198.591,alive,none,belted,1,f,66,2000,1988,unavail,pass,0,0,48:100:3
24-Oct,402.147,alive,none,belted,1,f,66,2000,1995,unavail,pass,0,3,48:166:2
24-Oct,11.264,dead,airbag,none,0,m,66,2000,1999,nodeploy,driver,0,4,49:224:1
25-39,23.081,alive,airbag,belted,1,m,66,2000,1990,nodeploy,driver,0,3,73:196:1
24-Oct,168.746,alive,none,belted,0,f,66,2000,1985,unavail,pass,0,1,76:50:01
25-39,490.435,alive,airbag,belted,0,f,66,2000,1997,deploy,pass,1,3,78:09:01
24-Oct,623.347,alive,airbag,belted,1,f,66,2000,1998,deploy,driver,1,2,78:12:01
25-39,846.424,alive,airbag,belted,1,m,66,2000,1994,deploy,driver,1,1,79:01:02
25-39,135.89,alive,airbag,belted,1,f,66,2000,1995,deploy,driver,1,0,79:108:2
24-Oct,41.919,alive,airbag,belted,0,f,66,2000,1997,nodeploy,driver,0,1,82:10:02
55+,4.151,dead,airbag,none,0,m,66,2000,1993,deploy,driver,1,4,82:112:1
24-Oct,266.413,alive,airbag,none,0,m,66,2001,1997,deploy,driver,1,1,0.311828704
24-Oct,216.193,alive,none,none,1,f,66,2001,1986,unavail,driver,0,1,0.400706019
24-Oct,10865.52,alive,none,belted,1,f,66,2001,1993,unavail,pass,0,0,9:09:01
25-39,45.804,alive,none,belted,1,f,66,2001,1985,unavail,driver,0,3,0.537523148
55+,49.097,dead,airbag,belted,0,f,66,2001,1993,nodeploy,driver,0,4,43:114:1
40-54,105.88,alive,airbag,belted,0,f,66,2001,2000,deploy,driver,1,3,45:43:01
40-54,203.002,alive,none,none,1,f,66,2001,1988,unavail,pass,0,3,48:09:02
24-Oct,481.613,alive,airbag,belted,1,m,66,2001,2000,deploy,driver,1,0,48:169:1
25-39,67.54,dead,none,none,0,f,66,2001,1989,unavail,pass,0,4,73:83:2
24-Oct,233.821,alive,airbag,belted,0,m,66,2001,2001,nodeploy,driver,0,2,73:96:1
24-Oct,12.442,alive,airbag,belted,1,m,66,2001,1997,deploy,driver,1,3,74:89:2
25-39,39.591,alive,airbag,belted,1,f,66,2001,2001,deploy,driver,1,3,75:104:1
24-Oct,154.96,alive,none,none,1,f,66,2001,1980,unavail,driver,0,0,76:02:01
24-Oct,940.538,alive,airbag,none,1,f,66,2001,1990,nodeploy,pass,0,2,76:24:01
40-54,109.995,alive,airbag,none,1,m,66,2001,1990,deploy,driver,1,3,76:94:1
25-39,115.624,dead,airbag,belted,0,f,66,2001,1995,nodeploy,pass,0,4,78:116:2
40-54,22.585,alive,airbag,belted,1,f,66,2001,1994,deploy,driver,1,3,81:89:2
24-Oct,1100.107,alive,none,belted,1,m,66,2002,1987,unavail,driver,0,0,0.172939815
24-Oct,82.796,alive,airbag,none,1,f,66,2002,1998,deploy,driver,1,5,0.347233796
24-Oct,279.804,alive,none,none,1,f,66,2002,1993,unavail,pass,0,3,0.439594907
1-9km/h,25.067,alive,airbag,belted,1,m,66,2002,2003,deploy,driver,1,3,0.541006944
25-39,24.268,alive,airbag,belted,1,f,66,2002,2002,deploy,pass,1,1,0.588912037
1-9km/h,248.101,alive,airbag,belted,0,m,66,2002,1995,nodeploy,driver,0,0,13:57:02
24-Oct,1,alive,airbag,belted,0,f,66,2002,2000,nodeploy,pass,0,1,42:13:01
40-54,61.344,alive,none,none,1,f,66,2002,1990,unavail,driver,0,3,45:81:1
55+,11.72,dead,airbag,belted,1,f,66,2002,2000,deploy,driver,1,4,49:100:1
24-Oct,2667.956,alive,airbag,belted,1,f,66,2002,1995,deploy,driver,1,1,49:161:2
25-39,18.655,alive,none,belted,1,m,66,2002,1991,unavail,driver,0,3,73:99:1
24-Oct,33.345,alive,none,none,1,m,66,2002,1989,unavail,driver,0,0,73:105:1
40-54,7.528,alive,airbag,belted,1,m,66,2002,2001,deploy,driver,1,2,74:128:1
24-Oct,392.672,alive,none,belted,1,m,66,2002,1985,unavail,driver,0,0,74:163:2
24-Oct,103.239,alive,airbag,belted,0,f,66,2002,2000,nodeploy,pass,0,1,75:139:1
24-Oct,182.354,alive,airbag,belted,1,f,66,2002,1999,nodeploy,driver,0,2,76:24:01
1-9km/h,2304.531,alive,airbag,belted,1,m,66,2002,1997,nodeploy,driver,0,0,76:69:2
24-Oct,14.871,alive,none,belted,1,f,66,2002,1990,unavail,pass,0,3,79:10:01
40-54,25.273,alive,none,belted,1,f,66,2002,1987,unavail,driver,0,3,81:18:01
24-Oct,227.166,alive,airbag,belted,1,f,66,2002,1997,nodeploy,driver,0,0,81:37:02
24-Oct,923.996,alive,airbag,belted,1,m,67,1997,1991,deploy,driver,1,1,2:16:02
